cohort,marker,n_patients,spearman_n0,spearman_n1,mae_n0,mae_n1,d_mae,max_abs_d_mae,meas_shift
STA,CD11b,18,0.4035,0.3478,0.0756,0.0768,0.001204,0.006814,-0.0
STA,CD11c,18,0.6347,0.6202,0.0336,0.0339,0.000304,0.00358,0.0
STA,CD14,18,0.7358,0.7358,0.0598,0.0609,0.001144,0.006288,-0.0
STA,CD15,18,0.4076,0.4221,0.0249,0.0251,0.000163,0.002295,0.0
STA,CD16,18,0.6471,0.6264,0.0428,0.0437,0.000853,0.005305,0.0
STA,CD163,18,0.6078,0.6078,0.0385,0.0393,0.000717,0.00451,-0.0
STA,CD20,18,0.7564,0.7688,0.0383,0.0404,0.002154,0.033034,0.0
STA,CD206,18,0.7936,0.7812,0.0576,0.0588,0.001262,0.003891,0.0
STA,CD209,18,0.9546,0.9546,0.054,0.0543,0.00033,0.001722,-0.0
STA,CD3,18,0.8328,0.8163,0.0779,0.0792,0.001319,0.004478,-0.0
STA,CD31,18,0.4056,0.3891,0.1048,0.1063,0.001476,0.004745,0.0
STA,CD36,18,0.4241,0.4241,0.0575,0.0583,0.000767,0.003335,0.0
STA,CD4,18,0.9567,0.9525,0.0316,0.0326,0.000951,0.007775,0.0
STA,CD44,18,0.7564,0.7337,0.1819,0.1831,0.001125,0.013294,-0.0
STA,CD45,18,0.8844,0.8865,0.151,0.1542,0.003231,0.017394,0.0
STA,CD45RA,18,0.6883,0.6883,0.0844,0.0862,0.001856,0.010618,0.0
STA,CD56,18,0.6099,0.5831,0.0937,0.0946,0.000901,0.004259,0.0
STA,CD68,18,0.612,0.614,0.0788,0.0787,-0.000109,0.007695,-0.0
STA,CD8a,18,0.711,0.7069,0.0911,0.0927,0.00158,0.005272,-0.0
STA,Collagen,18,0.2549,0.1992,0.108,0.1075,-0.000456,0.004046,0.0
STA,E-Cadherin,18,0.8617,0.8617,0.0773,0.0785,0.001192,0.006615,0.0
STA,FoxP3,18,0.7957,0.7998,0.076,0.0768,0.000795,0.001971,0.0
STA,GranzymeB,18,0.1042,0.1063,0.1449,0.1464,0.001508,0.009405,-0.0
STA,HistoneH3,18,0.5872,0.5872,0.8331,0.8399,0.006811,0.020963,0.0
STA,Ki67,18,0.4943,0.4943,0.0683,0.0687,0.000404,0.001727,0.0
STA,Pancytokeratin,18,0.6512,0.6512,0.4423,0.4421,-0.000219,0.047527,-0.0
STA,VEGF,18,0.8349,0.8349,0.122,0.1225,0.000421,0.003089,0.0
STA,Vimentin,18,0.7647,0.7585,0.3042,0.3062,0.001939,0.007735,0.0
STA,aSMA,18,0.6367,0.6326,0.1216,0.123,0.001393,0.00446,0.0
STA,pCREB,18,0.162,0.1373,0.3036,0.3089,0.005272,0.013122,0.0
STA,pERK,18,0.7399,0.7399,0.044,0.0454,0.001408,0.004332,0.0
STA,pMAPKAPK2,18,0.5418,0.5315,0.1771,0.1807,0.003556,0.027749,0.0
STA,pNFkB,18,0.8246,0.8246,0.2011,0.2031,0.002051,0.011397,0.0
STA,pS6,18,0.1765,0.1765,0.488,0.4946,0.006679,0.021927,-0.0
STA,pSTAT1,18,0.8287,0.8225,0.0464,0.047,0.000654,0.001875,0.0
STA,pSTAT3,18,0.7771,0.7792,0.0677,0.0685,0.000762,0.001751,-0.0
STA,pp38,18,0.8328,0.8308,0.0592,0.0593,0.000103,0.001903,0.0
UOP,CD11b,18,0.612,0.5996,0.0684,0.0702,0.001738,0.00968,0.0
UOP,CD11c,18,0.7874,0.7874,0.0369,0.037,0.000157,0.00418,0.0
UOP,CD14,18,0.9154,0.9154,0.2086,0.2098,0.001282,0.005839,0.0
UOP,CD15,18,0.6058,0.6017,0.0308,0.0312,0.00042,0.002327,0.0
UOP,CD16,18,0.806,0.806,0.0293,0.0298,0.000488,0.002541,0.0
UOP,CD163,18,0.9112,0.9112,0.0404,0.0412,0.000807,0.002376,-0.0
UOP,CD20,18,0.6925,0.6925,0.0628,0.0643,0.001513,0.021135,0.0
UOP,CD206,18,0.7544,0.7544,0.0763,0.0777,0.001427,0.002234,0.0
UOP,CD209,18,0.9298,0.9257,0.0527,0.0529,0.000246,0.002391,0.0
UOP,CD3,18,0.8596,0.8638,0.0787,0.0795,0.000778,0.009595,-0.0
UOP,CD31,18,0.7606,0.7606,0.0724,0.0734,0.001003,0.003736,0.0
UOP,CD36,18,0.7007,0.7007,0.0656,0.0661,0.000477,0.001474,0.0
UOP,CD4,18,0.8225,0.8204,0.0401,0.0407,0.000636,0.004164,0.0
UOP,CD44,18,0.7606,0.7544,0.1513,0.1534,0.002091,0.010414,-0.0
UOP,CD45,18,0.9649,0.9525,0.1698,0.1725,0.002754,0.0097,0.0
UOP,CD45RA,18,0.3622,0.2962,0.1142,0.1154,0.001283,0.003938,0.0
UOP,CD56,18,0.8287,0.8225,0.0686,0.0692,0.000613,0.002538,0.0
UOP,CD68,18,0.9546,0.9546,0.1004,0.1008,0.000334,0.003374,0.0
UOP,CD86,18,0.7688,0.7688,0.018,0.0183,0.000277,0.000885,-0.0
UOP,CD8a,18,0.6305,0.6305,0.0984,0.0988,0.000433,0.003431,-0.0
UOP,Collagen,18,-0.0753,-0.0733,0.1764,0.1765,0.000171,0.002187,-0.0
UOP,E-Cadherin,18,0.9546,0.9546,0.0848,0.0854,0.000591,0.003762,0.0
UOP,FoxP3,18,0.7998,0.7833,0.0123,0.0127,0.000397,0.001642,-0.0
UOP,GranzymeB,18,0.5975,0.5666,0.1381,0.1401,0.001981,0.017518,0.0
UOP,HistoneH3,18,0.7853,0.7647,0.3202,0.3186,-0.001606,0.023338,0.0
UOP,Ki67,18,0.8762,0.8762,0.0653,0.0658,0.000495,0.002293,-0.0
UOP,Pancytokeratin,18,0.4014,0.3602,0.3996,0.4024,0.00282,0.014927,-0.0
UOP,Podoplanin,18,0.2466,0.2405,0.0571,0.0583,0.001152,0.00534,-0.0
UOP,VEGF,18,0.8596,0.8493,0.0937,0.094,0.000354,0.003771,0.0
UOP,Vimentin,18,0.7853,0.7771,0.1944,0.1946,0.000142,0.007113,0.0
UOP,aSMA,18,-0.0072,-0.032,0.1527,0.1542,0.001501,0.005431,0.0
UOP,pCREB,18,0.7069,0.7069,0.3076,0.3099,0.002235,0.006828,0.0
UOP,pERK,18,0.7977,0.7977,0.14,0.1412,0.001182,0.002386,0.0
UOP,pMAPKAPK2,18,0.8163,0.8163,0.0523,0.0532,0.000935,0.00519,-0.0
UOP,pNFkB,18,0.8535,0.8431,0.1329,0.135,0.002112,0.005753,0.0
UOP,pS6,18,0.7833,0.7833,0.5016,0.5062,0.004568,0.01472,0.0
UOP,pSTAT1,18,0.7049,0.7049,0.0304,0.0309,0.000478,0.002019,0.0
UOP,pSTAT3,18,0.839,0.8493,0.0272,0.0273,0.000127,0.001639,0.0
UOP,pp38,18,0.808,0.808,0.0762,0.0765,0.000286,0.001637,0.0
