core_id,size_regime,window_idx,r0_px,c0_px,width_px,height_px,n_nuclei_in_window,density_per_mm2,tumor_overlap_fraction,selection_rule,notes
Core_A2,A,1,2879,1783,253,253,255,15516.77,NA,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1458.78 c0_um=903.44; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple; tumor_boundary file is 0 bytes (empty download); overlap not computable',)"
Core_A2,A,2,535,3215,253,253,227,13812.97,NA,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=271.08 c0_um=1629.03; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple; tumor_boundary file is 0 bytes (empty download); overlap not computable',)"
Core_A2,B,1,2880,1720,128,128,75,17829.68,NA,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1459.29 c0_um=871.52; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple; tumor_boundary file is 0 bytes (empty download); overlap not computable',)"
Core_A2,B,2,752,3616,128,128,74,17591.95,NA,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=381.04 c0_um=1832.22; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple; tumor_boundary file is 0 bytes (empty download); overlap not computable',)"
Core_A3,A,1,4271,3831,253,253,308,18741.82,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=2164.11 c0_um=1941.16; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_A3,A,2,4191,2495,253,253,289,17585.67,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=2123.57 c0_um=1264.21; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_A3,B,1,4416,3880,128,128,98,23297.44,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=2237.58 c0_um=1965.99; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_A3,B,2,4256,3904,128,128,88,20920.15,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=2156.51 c0_um=1978.15; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_A4,A,1,2391,3791,253,253,290,17646.52,0.005890,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1211.51 c0_um=1920.89; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_A4,A,2,1767,4679,253,253,262,15942.72,0.107422,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=895.33 c0_um=2370.84; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_A4,B,1,1848,4736,128,128,96,22821.99,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=936.38 c0_um=2399.72; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_A4,B,2,2480,3752,128,128,90,21395.61,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1256.61 c0_um=1901.13; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_A5,A,1,2863,2919,253,253,364,22149.43,0.998250,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1450.68 c0_um=1479.05; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_A5,A,2,3351,2783,253,253,325,19776.27,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1697.94 c0_um=1410.14; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_A5,B,1,2992,2984,128,128,113,26863.38,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1516.04 c0_um=1511.99; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_A5,B,2,2824,2992,128,128,105,24961.55,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1430.91 c0_um=1516.04; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B10,A,1,3311,2631,253,253,296,18011.62,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1677.68 c0_um=1333.12; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B10,A,2,2631,1207,253,253,271,16490.37,0.365949,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1333.12 c0_um=611.58; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B10,B,1,3368,2744,128,128,88,20920.15,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1706.56 c0_um=1390.38; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B10,B,2,2656,2152,128,128,86,20444.7,0.213867,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1345.79 c0_um=1090.41; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B2,A,1,1231,2047,253,253,347,21114.98,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=623.74 c0_um=1037.21; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B2,A,2,1087,2439,253,253,345,20993.28,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=550.78 c0_um=1235.84; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B2,B,1,728,2104,128,128,108,25674.74,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=368.88 c0_um=1066.09; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B2,B,2,1128,2440,128,128,102,24248.36,1.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=571.55 c0_um=1236.34; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B5,A,1,3015,2215,253,253,213,12961.07,0.000078,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1527.69 c0_um=1122.34; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_B5,A,2,3087,1727,253,253,199,12109.16,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1564.18 c0_um=875.07; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_B5,B,1,3608,2232,128,128,68,16165.57,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1828.17 c0_um=1130.95; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_B5,B,2,3096,1752,128,128,67,15927.84,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1568.74 c0_um=887.73; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_B6,A,1,1743,887,253,253,326,19837.12,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=883.17 c0_um=449.44; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B6,A,2,1239,1279,253,253,323,19654.57,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=627.80 c0_um=648.07; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B6,B,1,1296,1296,128,128,99,23535.17,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=656.68 c0_um=656.68; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B6,B,2,1872,1000,128,128,97,23059.72,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=948.54 c0_um=506.70; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B8,A,1,3607,855,253,253,179,10892.16,0.874518,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1827.66 c0_um=433.23; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B8,A,2,1247,4503,253,253,170,10344.51,0.091940,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=631.85 c0_um=2281.66; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_B8,B,1,3704,976,128,128,68,16165.57,0.887695,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1876.81 c0_um=494.54; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_B8,B,2,4120,1032,128,128,59,14026.01,0.626953,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=2087.59 c0_um=522.91; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C10,A,1,1671,4071,253,253,354,21540.93,0.000500,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=846.69 c0_um=2062.77; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C10,A,2,1391,3967,253,253,335,20384.77,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=704.82 c0_um=2010.07; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C10,B,1,1784,4144,128,128,108,25674.74,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=903.95 c0_um=2099.76; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C10,B,2,1456,4080,128,128,104,24723.82,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=737.75 c0_um=2067.33; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C2,A,1,2391,4159,253,253,311,18924.37,0.000500,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1211.51 c0_um=2107.36; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C2,A,2,2871,1511,253,253,310,18863.52,0.093799,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1454.73 c0_um=765.62; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C2,B,1,1784,4176,128,128,93,22108.8,0.004883,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=903.95 c0_um=2115.97; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C2,B,2,2440,4192,128,128,93,22108.8,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1236.34 c0_um=2124.08; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
Core_C3,A,1,3623,2575,253,253,196,11926.61,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1835.77 c0_um=1304.75; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_C3,A,2,3823,1927,253,253,182,11074.71,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1937.11 c0_um=976.41; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=detailed',)"
Core_C3,B,1,3648,3368,128,128,62,14739.2,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1848.43 c0_um=1706.56; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_C3,B,2,3752,2672,128,128,61,14501.47,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1901.13 c0_um=1353.90; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=detailed',)"
Core_C4,A,1,2215,1111,253,253,318,19350.32,0.028512,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1122.34 c0_um=562.94; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C4,A,2,3079,415,253,253,289,17585.67,0.064319,density_desc_nonoverlap_greedy,"('window_um_actual=128.1945 (nominal 128.0); r0_um=1560.12 c0_um=210.28; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=127(>=half-window from edge);scheme=simple',)"
Core_C4,B,1,2344,1168,128,128,96,22821.99,0.000000,density_desc_nonoverlap_greedy,"('window_um_actual=64.8573 (nominal 64.86); r0_um=1187.70 c0_um=591.82; origin=top-left,x=col,y=row;count=cell centroids(excl Not_cells/uncategorized only),half-open [r0,r0+h)x[c0,c0+w);grid_step_px=8;margin_px=64(>=half-window from edge);scheme=simple',)"
