marker,n_patients,n_windows,mean_r_virtues,mean_r_ridge_lowo,paired_mean_delta,pointwise_ci95_low,pointwise_ci95_high,interval_category,spatial_null_p,spatial_null_fdr_pass
CD11b,36,72,0.2678329274457223,0.2982440373591016,-0.03041110991337929,-0.08068103007470097,0.01652810786854732,interval_crosses_zero,0.0001,True
CD11c,36,72,0.33605653898874555,0.31482169052570774,0.02123484846303768,0.01023202297084176,0.03276501443200452,positive_interval,0.0001,True
CD14,36,72,0.44425894495244483,0.4087875527280015,0.03547139222444333,0.025240180080569895,0.04661264145867527,positive_interval,0.0001,True
CD15,36,72,0.06219846413922982,0.07741495699630477,-0.015216492857074956,-0.027751302551486515,-0.0038555296856292794,negative_interval,0.0001,True
CD16,36,72,0.2995093876256041,0.320958954609209,-0.02144956698360491,-0.03511728042202243,-0.007782676531416422,negative_interval,0.0001,True
CD163,36,72,0.3305085329209328,0.2881825491164149,0.04232598380451788,0.03178976713786027,0.052728835469964305,positive_interval,0.0001,True
CD20,36,72,0.16621881098934355,0.158687198491895,0.007531612497448548,-0.015289136426405881,0.029294616933527168,interval_crosses_zero,0.0001,True
CD206,36,72,0.3325052167553451,0.30241945413999455,0.03008576261535062,0.015670114739710667,0.04722217936215036,positive_interval,0.0001,True
CD209,36,72,0.2912819699847265,0.333411470396291,-0.04212950041156457,-0.05580221910394136,-0.02984913222947411,negative_interval,0.0001,True
CD3,36,72,0.4793813765349402,0.41415814728560524,0.0652232292493349,0.04993340075534291,0.08035193892354178,positive_interval,0.0001,True
CD31,36,72,0.4429949186181162,0.3084511964651036,0.1345437221530127,0.10980287074920114,0.16042381010739395,positive_interval,0.0001,True
CD36,36,72,0.20531782189203268,0.2237582948366441,-0.01844047294461141,-0.0425886765162311,0.007062164605270869,interval_crosses_zero,0.0001,True
CD4,36,72,0.3519235191283591,0.33339238413145544,0.018531134996903703,0.008728332030839421,0.028108940891695685,positive_interval,0.0001,True
CD44,36,72,0.38410741752886757,0.37594741968972734,0.00815999783914026,-0.02153113788846781,0.03528849900752737,interval_crosses_zero,0.0001,True
CD45,36,72,0.6116698703539328,0.5790573187930317,0.03261255156090106,0.019305457823848526,0.04668706775686728,positive_interval,0.0001,True
CD45RA,36,72,0.07044364200010717,0.14447493752004326,-0.0740312955199361,-0.11156469272577844,-0.038155347954258505,negative_interval,0.0001,True
CD56,36,72,0.3874737419290866,0.4256664044348767,-0.03819266250579013,-0.05824884770627193,-0.019146871000875827,negative_interval,0.0001,True
CD68,36,72,0.44793432352119844,0.4306087585093335,0.017325565011865003,-0.0011721415855078796,0.03571809699901706,interval_crosses_zero,0.0001,True
CD86,18,36,0.11520428375875327,0.14714102737004595,-0.03193674361129267,-0.04312053195499172,-0.02144816430051403,negative_interval,0.0001,True
CD8a,36,72,0.36122411557869755,0.3576825062443233,0.0035416093343742347,-0.027304866173356503,0.03366113622664665,interval_crosses_zero,0.0001,True
Collagen,36,72,0.16889821987753142,0.18717280160030964,-0.01827458172277821,-0.06153929472425015,0.024559828657305886,interval_crosses_zero,0.0001,True
E-Cadherin,36,72,0.41507398613610214,0.4135581875829371,0.0015157985531650472,-0.009016922973254078,0.011693082600642127,interval_crosses_zero,0.0001,True
FoxP3,36,72,0.10587495058242065,0.1095353118550852,-0.003660361272664543,-0.01639749270068768,0.009220524392524871,interval_crosses_zero,0.0001,True
GranzymeB,36,72,0.32254779893399466,0.3544132203231598,-0.03186542138916513,-0.07858187989119972,0.015140919897028067,interval_crosses_zero,0.0001,True
HistoneH3,36,72,0.4093362873742048,0.2506414552372472,0.15869483213695762,0.12820180104865966,0.1884104593736481,positive_interval,0.0001,True
Ki67,36,72,0.18508600637538455,0.24493145433690572,-0.059845447961521164,-0.08644171303398436,-0.03554465542373973,negative_interval,0.0001,True
Pancytokeratin,36,72,0.4532898819334177,0.4033176103018664,0.04997227163155123,0.017589845100826906,0.07689766256983323,positive_interval,0.0001,True
Podoplanin,18,36,0.1310403266185517,0.13447636499530322,-0.003436038376751539,-0.031436517483879114,0.025782003479036374,interval_crosses_zero,0.0001,True
VEGF,36,72,0.2825032191497841,0.329594729817099,-0.04709151066731487,-0.07016080767141014,-0.027836171886382623,negative_interval,0.0001,True
Vimentin,36,72,0.3924828432187603,0.38923829279388833,0.003244550424871989,-0.017219876594431166,0.02238823158747378,interval_crosses_zero,0.0001,True
aSMA,36,72,0.2992117938412209,0.25955707812554735,0.039654715715673465,0.0006890985214532745,0.08193222824256835,positive_interval,0.0001,True
pCREB,36,72,0.052071487034623914,0.3281688027418182,-0.2760973157071942,-0.33347091101282555,-0.22274269443154446,negative_interval,0.0001,True
pERK,36,72,0.13950047368877122,0.12059916102888929,0.018901312659881948,0.0025709032071750426,0.03383814130519648,positive_interval,0.0001,True
pMAPKAPK2,36,72,0.08544579597213688,0.28899270555157175,-0.20354690957943483,-0.2582594245428704,-0.1530364730414511,negative_interval,0.0001,True
pNFkB,36,72,0.21665301504438375,0.20400940838588844,0.012643606658495291,-0.013511326816984335,0.0378953233919934,interval_crosses_zero,0.0001,True
pS6,36,72,0.3931005467964218,0.41980489575799207,-0.026704348961570267,-0.05789320831070213,0.004302055948861007,interval_crosses_zero,0.0001,True
pSTAT1,36,72,0.07511166619871755,0.0735322433192417,0.0015794228794758522,-0.005802835935812059,0.008706900867032826,interval_crosses_zero,0.0001,True
pSTAT3,36,72,0.0670121881116186,0.10452023012419147,-0.03750804201257286,-0.04985583099913036,-0.026334595548374397,negative_interval,0.0001,True
