marker,arm,sample,r,oscc_mean,osci_lo,oscc_hi
Histone H3,SCCHN-cohort control,10089821-SPECT-VAR-TIS-UNST-03_001,0.907,0.4093388888888889,0.3657849652777778,0.45337677083333333
Histone H3,SCCHN-cohort control,10089829-SPECT-VAR-TIS-UNST-03_001,0.779,0.4093388888888889,0.3657849652777778,0.45337677083333333
Ki-67,SCCHN-cohort control,10089821-SPECT-VAR-TIS-UNST-03_001,0.242,0.18508611111111112,0.16171635416666666,0.20910815972222221
Ki-67,SCCHN-cohort control,10089829-SPECT-VAR-TIS-UNST-03_001,0.437,0.18508611111111112,0.16171635416666666,0.20910815972222221
CD4,SCCHN-cohort control,10089821-SPECT-VAR-TIS-UNST-03_001,0.489,0.3519291666666666,0.3011317013888889,0.3989317708333333
CD4,SCCHN-cohort control,10089829-SPECT-VAR-TIS-UNST-03_001,0.612,0.3519291666666666,0.3011317013888889,0.3989317708333333
CD68,SCCHN-cohort control,10089821-SPECT-VAR-TIS-UNST-03_001,0.667,0.44793472222222225,0.4055297222222223,0.48848510416666674
CD68,SCCHN-cohort control,10089829-SPECT-VAR-TIS-UNST-03_001,0.624,0.44793472222222225,0.4055297222222223,0.48848510416666674
SMA,SCCHN-cohort control,10089821-SPECT-VAR-TIS-UNST-03_001,0.199,0.29920277777777776,0.2414204861111111,0.3566222222222223
SMA,SCCHN-cohort control,10089829-SPECT-VAR-TIS-UNST-03_001,0.248,0.29920277777777776,0.2414204861111111,0.3566222222222223
CD8a,SCCHN-cohort control,10089821-SPECT-VAR-TIS-UNST-03_001,0.249,0.3612222222222222,0.2986846527777778,0.42752190972222215
CD8a,SCCHN-cohort control,10089829-SPECT-VAR-TIS-UNST-03_001,0.403,0.3612222222222222,0.2986846527777778,0.42752190972222215
