cohort,cluster,cell_type,n_cells,n_cluster,n_type,expected,ratio_obs_over_exp,log2_enrichment,hypergeom_p,note
UOP,0,B cells,1696,10839,8926,353.86277650983146,4.792818325588647,2.2608742548452985,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,B cells,1,13671,8926,446.3195883075843,0.0022405469672347046,-8.801933315508697,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,B cells,58,9996,8926,326.3412043539326,0.1777280932538823,-2.492256350523433,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,3,B cells,40,14377,8926,469.36849689840824,0.08522088777649203,-3.5526491091096695,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,B cells,50,16988,8926,554.6102820692884,0.090153395305703,-3.4714743631369784,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,B cells,424,7302,8926,238.3897033005618,1.7786003091980056,0.8307423415640136,1.787549458343425e-29,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,B cells,146,23452,8926,765.6416491104869,0.1906897308546642,-2.3907009420807572,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,B cells,1100,20353,8926,664.4680404377341,1.6554596053639372,0.7272318081664274,2.892919720446374e-61,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,8,B cells,87,8047,8926,262.7118518843633,0.3311613061077062,-1.5943939810709296,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,9,B cells,331,12945,8926,422.61773613061797,0.7832136981058888,-0.352522097544557,0.9999993257166552,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,B cells,0,17118,8926,558.8544153792135,0.0,-inf,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,B cells,10,13449,8926,439.0719145014045,0.022775312357101386,-5.456385349448783,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,B cells,2,12692,8926,414.3579997659176,0.0048267440260109755,-7.694733965481939,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,B cells,1247,24506,8926,800.0517761001872,1.5586491240334965,0.6402961916725985,5.969966453025599e-56,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,B cells,146,6062,8926,197.90720095973782,0.737719493237147,-0.4388557374686129,0.9999682597180743,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,B cells,15,11933,8926,389.5787906718165,0.03850312275504775,-4.698880730966606,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,16,B cells,594,16865,8926,550.5946790145131,1.0788335278923806,0.10947226333097594,0.028489642728818664,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,17,B cells,2783,15039,8926,490.9809295997191,5.668244594080039,2.502902014263806,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,18,B cells,196,4332,8926,141.42758075842696,1.385868293503432,0.47079015694258,4.764033425648402e-06,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,19,B cells,0,13442,8926,438.8433842462547,0.0,-inf,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,0,CD4 T cells,1438,10839,31219,1237.6475487183989,1.1618816693727296,0.2164631464515647,8.030851333066703e-10,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,1,CD4 T cells,51,13671,31219,1561.0185107970506,0.032670977087875516,-4.935846587807034,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,2,CD4 T cells,393,9996,31219,1141.3898788623596,0.3443170535134839,-1.538190457662231,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,3,CD4 T cells,977,14377,31219,1641.6328819932116,0.5951391512173914,-0.7487010662984788,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,4,CD4 T cells,312,16988,31219,1939.7690338249063,0.16084389149402348,-2.636266948319287,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,5,CD4 T cells,702,7302,31219,833.7764001053371,0.8419523506677704,-0.24818950696445735,0.9999997766066551,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,6,CD4 T cells,1073,23452,31219,2677.8586873829586,0.4006932871609558,-1.3194297544740845,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,7,CD4 T cells,8473,20353,31219,2324.0004206168073,3.6458685311903696,1.8662625392104668,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,8,CD4 T cells,461,8047,31219,918.8439731097847,0.50171738999361,-0.9950531507601524,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,9,CD4 T cells,2365,12945,31219,1478.1204463658707,1.6000049291075193,0.6780763496051505,8.178250759594579e-122,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,10,CD4 T cells,6,17118,31219,1954.6130398525281,0.0030696612974876543,-8.347704805415853,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,11,CD4 T cells,38,13449,31219,1535.6695158883426,0.024744907421059305,-5.336724545162393,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,12,CD4 T cells,53,12692,31219,1449.2317269428838,0.03657110109768443,-4.773152125188572,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,13,CD4 T cells,4996,24506,31219,2798.2093208684455,1.7854275456596125,0.8362695891810535,0.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,14,CD4 T cells,1119,6062,31219,692.187419534176,1.616614183414454,0.6929754103579315,2.3823033391800706e-59,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
UOP,15,CD4 T cells,44,11933,31219,1362.5655686739233,0.03229202396683317,-4.95267832220766,1.0,"P值为描述性参考: 细胞非独立(患者/ROI聚类), 推断以患者级bootstrap为准"
