cluster,n_uop,patients_uop,rois_uop,patient_coverage_uop,vessel_pct_uop,cd31_mean_uop,ki67_mean_uop,pdpn_mean_uop,panck_mean_uop,n_sta,patients_sta,rois_sta,vessel_pct_sta,cd31_mean_sta,ki67_mean_sta,pdpn_mean_sta
0,10839,20,50,0.8333333333333334,0.43546452624780885,0.8605610456050602,0.11942234342613142,0.09576673031270345,0.2578996872968878,15808,24,70,0.3290738866396761,0.6721645747700832,0.10241395269232478,
1,13671,24,66,1.0,0.010752688172043012,0.25983558619002745,0.1557276934146492,0.14848582539454788,1.6190234314756153,19394,24,71,0.051046715479014126,0.21067836897671288,0.1744794756857125,
2,9996,21,59,0.875,0.8328331332533013,1.238896780894899,0.09696975868071411,0.10404913288319083,0.2393181731745085,20493,24,71,0.8784462987361538,1.3180771707900958,0.09208418669968353,
3,14377,24,71,1.0,0.28872504694998957,0.17477813758008617,0.03112773459762,0.06619264514011293,0.20858241617639925,6624,24,71,0.43266908212560384,0.1416144476741467,0.05886870289261656,
4,16988,23,64,0.9583333333333334,0.10689898752060278,0.06274694281637963,0.014386465981060298,0.04065261940977397,0.1351533542642435,494,23,50,0.2732793522267207,0.06702885852643004,0.024087350354765877,
5,7302,15,32,0.625,0.15351958367570528,0.5036488331221741,0.1998437544411896,0.09208945989165591,0.25798197511996784,11697,24,63,0.13174318201248184,0.38400804592824694,0.17981462423646447,
6,23452,22,62,0.9166666666666666,0.2363124680197851,0.2006084887609828,0.021730955151669718,0.052479945358875145,0.11086166629071327,2071,19,43,0.1907291163689039,0.11425427175930393,0.028723903317370337,
7,20353,24,68,1.0,0.03139586301773694,0.2227660904109988,0.05214811321175785,0.06305112160582141,0.23801546225533857,15330,24,70,0.06666666666666667,0.19869766813201536,0.07122538350291566,
8,8047,24,71,1.0,0.18454082266683236,0.22450633195089265,0.05172315330442821,0.07576079879207413,0.5996085075776685,2404,24,71,0.2113144758735441,0.2460400483509593,0.10045194581679746,
9,12945,23,67,0.9583333333333334,0.0682889146388567,0.44038060248442235,0.08073480130557792,0.09770507549680804,0.4583213140938763,23532,24,71,0.09340472548019718,0.38641991415157884,0.07066369669440761,
10,17118,23,57,0.9583333333333334,0.0014604509872648674,0.35425315774393096,0.31868776334869503,0.16910191656215676,2.6306927275191083,48659,24,71,0.006268110729772498,0.3138219082454025,0.2666231308278438,
11,13449,24,69,1.0,0.19674325228641534,0.4206848466860292,0.0514930497124298,0.09218684961376127,1.735786885573031,3518,24,71,0.0832859579306424,0.24483397059399323,0.06440346310753589,
12,12692,24,71,1.0,0.8829183737787583,0.7531904224142759,0.04201496864559174,0.0474237858442821,0.10378168175717811,3876,24,68,0.935500515995872,1.0355361824492881,0.04906110063509024,
13,24506,24,71,1.0,0.20268505672080306,0.32005031892431834,0.042920388169783316,0.06883232834499269,0.1841853832562421,5603,24,68,0.2093521327860075,0.232028712030048,0.04749060191694464,
14,6062,24,70,1.0,0.11052457934675025,0.23372390848950939,0.19509338354798345,0.06478150468226021,0.3939280872833401,4056,24,71,0.12376725838264299,0.24218418575733056,0.18156230012450963,
15,11933,23,62,0.9583333333333334,0.08505824185033102,0.1598914089246064,0.03423660459668167,0.07845677608437329,0.7648727006232755,656,24,54,0.20884146341463414,0.10168976774082046,0.029454756666156018,
16,16865,24,71,1.0,0.055796027275422475,0.10734242663279156,0.023676314976651278,0.0463436019883266,0.10891593570454232,1757,24,62,0.12350597609561753,0.0967108813599799,0.034804119798017605,
17,15039,17,39,0.7083333333333334,0.04747656094155196,0.4144750641532,0.1390874671244708,0.11244187967577973,0.3974476155467932,33712,24,70,0.02177266255339345,0.4226045941924412,0.12596943905816219,
18,4332,24,68,1.0,0.10364727608494921,0.31472138773329844,0.09668228842947237,0.0877415564700663,0.4966487849264222,3636,24,71,0.13283828382838284,0.3089405535969401,0.12499901083752754,
19,13442,24,67,1.0,0.015027525665823539,0.19411577569922495,0.08502749378428899,0.1502615866457622,1.2378658494114274,1510,23,53,0.09867549668874172,0.15656825024748677,0.10115004810234342,
