seed,ari_vs_primary,hungarian_agreement,mean_patient_coverage_per_cluster,max_single_patient_share_median,max_single_roi_share_median
0,1.0,1.0,0.9395833333333334,0.1519459221060042,0.07732616212603058
1,0.3805368544371184,0.5118211610486891,0.94375,0.1600165112698903,0.08176159789752746
2,0.40982789342825265,0.5482758368445693,0.9354166666666668,0.13929295596068036,0.06993872444867977
3,0.40136460238037414,0.5433162160580525,0.9333333333333332,0.13985358965010491,0.06762589372655511
4,0.3973223403661008,0.555645774812734,0.9312499999999998,0.1400218596837523,0.06729498206730666
5,0.4284076137906719,0.6009955816947565,0.9479166666666666,0.13867199968517846,0.06933316280479068
6,0.4076273756434758,0.5633595213014981,0.9458333333333334,0.13367908754208604,0.07170469004098298
7,0.419483593264014,0.5691494030898876,0.9229166666666668,0.15753249585256818,0.07720263257331848
8,0.38854540309450436,0.5126843398876404,0.9500000000000002,0.1448127418374116,0.07111419202922471
9,0.40748643886088626,0.557518433988764,0.9479166666666667,0.13954874927077876,0.07210647599582648
