seed,max_vessel_pct,n_clusters_vessel_pct_ge_0.5,clusters_vessel_dominated,frac_uop_vessel_cells_in_those_clusters
0,0.8829183737787583,2,"[2, 12]",0.37803154940481953
1,0.9179722140112326,3,"[0, 9, 12]",0.41840704538856094
2,0.9559213015512675,2,"[4, 15]",0.42431046162779446
3,0.9590625927024622,4,"[4, 12, 15, 18]",0.5607471208748669
4,0.9437664746656254,4,"[3, 10, 13, 14]",0.6418465111777799
5,0.9630984737612377,4,"[10, 11, 15, 19]",0.5635923739475467
6,0.9296201723587616,4,"[7, 15, 16, 19]",0.4527242814284332
7,0.9037269293807454,2,"[0, 11]",0.37230233233330107
8,0.9451303155006858,4,"[3, 6, 13, 18]",0.5496951514564986
9,0.9561085190945222,2,"[15, 17]",0.3962256846995064
