umap1,umap2,cluster,label
1.1864811,7.0155516,13,CD4 T cells
2.5834446,7.5389833,13,Myeloid
3.8620636,7.1329293,16,CD4 T cells
-0.8648079,4.2464633,5,Tumor
4.412491,7.848822,15,Fibroblasts
0.26968527,6.569472,2,Vessel
0.6295761,8.613523,12,Vessel
3.757276,9.629211,6,Vessel
3.3511498,2.8313985,7,CD8 T cells
1.9452672,10.7362175,4,Fibroblasts
2.7549443,6.7065983,13,Fibroblasts
2.1059003,2.221326,17,B cells
2.422195,7.037812,13,Fibroblasts
3.2495298,3.0907605,18,CD4 T cells
0.8053065,5.807631,13,Vessel
-1.0614601,3.8711443,5,Myeloid
4.227262,9.713418,15,Myeloid
4.0059576,8.004452,15,Vessel
2.660158,9.861475,4,other
9.36374,8.303032,11,Tumor
3.3023438,4.270701,7,CD4 T cells
9.117563,5.209587,10,Tumor
-0.36286134,7.075346,2,Vessel
0.47815236,5.0664377,14,CD8 T cells
3.1271365,5.082848,7,Fibroblasts
-0.76741505,8.512095,12,Vessel
2.709551,8.530308,6,Fibroblasts
2.1787922,6.751963,13,Myeloid
7.875998,8.301177,19,Tumor
-0.8130536,4.1605787,5,Myeloid
1.9697272,5.314027,13,Vessel
-0.5179479,4.6707487,5,CD4 T cells
3.326836,6.945862,13,CD4 T cells
1.7940475,5.442457,9,Myeloid
1.0630854,4.5335774,9,Myeloid
1.1480618,5.074996,0,Fibroblasts
-0.5964059,8.516715,12,Vessel
2.2565417,9.445103,3,Fibroblasts
-0.87255174,8.154205,12,Vessel
2.4815361,5.0123405,7,other
9.406681,5.47822,10,Tumor
0.857294,5.20537,0,Vessel
3.244678,10.520483,4,Fibroblasts
4.2320395,7.249024,16,CD8 T cells
2.6751776,3.7088742,0,B cells
0.35254058,5.301332,14,Myeloid
-0.43578964,6.14964,2,Vessel
2.2659285,10.575986,4,Vessel
2.512038,7.0254397,13,Myeloid
8.530696,7.9182615,19,Tumor
9.204014,7.3045673,10,Tumor
8.235302,8.187776,11,Tumor
2.6806467,3.875933,7,B cells
-0.84622943,8.948792,12,Fibroblasts
1.925069,5.992276,13,Myeloid
1.5540099,9.289129,3,Fibroblasts
1.7020588,3.5041978,0,CD4 T cells
3.1474748,7.5985227,16,Fibroblasts
4.8656325,9.927927,15,other
6.971152,10.616672,19,Tumor
2.0333836,7.8864865,16,Vessel
1.9649564,5.2151365,0,CD4 T cells
1.9590524,2.2965837,17,B cells
1.6768081,4.743654,0,Vessel
8.297976,7.487457,1,Tumor
3.2538698,1.9503286,17,CD8 T cells
2.409361,10.784659,4,Fibroblasts
8.984326,7.4310784,11,Tumor
2.7445025,2.2319767,17,CD8 T cells
8.735062,7.9025373,1,Tumor
7.630587,4.7645907,17,Tumor
5.5993814,11.345132,8,Vessel
3.2201612,10.265946,4,Fibroblasts
0.8930645,6.429327,14,CD4 T cells
7.6983204,5.846082,1,Tumor
9.19581,5.028124,10,Tumor
1.9111323,5.2299438,13,Myeloid
4.0803022,9.978634,15,other
9.152305,5.5620723,1,Tumor
3.1284742,9.401991,4,Myeloid
6.782783,8.788811,8,Tumor
1.9280845,1.9967077,17,CD8 T cells
8.873761,7.0220904,1,Tumor
-1.1510506,7.987442,12,Vessel
2.599338,2.150088,17,CD8 T cells
0.18723285,5.899767,2,Tumor
1.7700517,9.668619,3,Vessel
0.42774644,9.420368,3,other
1.7756726,7.3418436,6,Vessel
1.8556076,9.406845,3,Fibroblasts
4.1388364,5.9527144,16,CD4 T cells
9.355589,6.604216,10,Tumor
2.3268974,9.23041,4,Fibroblasts
3.1171749,10.553949,4,other
2.1763253,8.07214,6,Myeloid
10.477516,6.2627683,10,Tumor
2.89513,10.788808,4,Fibroblasts
1.086171,3.1826575,9,Myeloid
1.1699599,2.1859004,17,Myeloid
3.286978,3.801861,7,CD4 T cells
6.9942346,8.120531,19,Tumor
10.042208,7.213133,10,Tumor
2.39929,8.680176,3,Myeloid
4.384062,8.59471,6,other
4.3461986,11.311402,8,Vessel
2.8319433,10.225362,4,Myeloid
6.28177,11.566606,11,Tumor
6.7254767,8.223113,19,Tumor
7.3504558,6.2116337,10,Tumor
1.9469573,5.8413897,13,CD4 T cells
4.197762,6.1660266,16,CD8 T cells
6.2597876,11.7612705,10,Tumor
8.566913,8.942161,11,Tumor
-0.77676564,4.2073836,5,Myeloid
1.8488705,4.4090223,9,Myeloid
7.0163183,7.8337603,1,Tumor
-0.7353287,4.993068,5,Vessel
-1.3704265,7.5017037,12,Vessel
-0.28510055,4.3684216,5,Myeloid
2.510573,2.5848303,17,CD8 T cells
5.672653,5.6142697,14,Myeloid
0.6205963,5.2596564,13,Myeloid
2.5486562,3.4974084,9,CD4 T cells
-1.6087506,7.6168504,2,Vessel
4.281466,4.0361934,7,CD8 T cells
1.157629,3.2598457,2,Vessel
9.319354,8.096845,11,Tumor
1.8542554,4.023033,0,CD4 T cells
8.432291,4.7805643,10,Tumor
-1.2624769,7.2440753,2,Vessel
5.0767074,8.584383,15,Tumor
7.474371,7.2527285,1,Tumor
0.04870607,4.6211324,13,CD4 T cells
0.345972,4.8762174,14,Myeloid
1.146512,3.6876283,9,Tumor
2.7914732,10.992618,4,Fibroblasts
3.0709739,4.4806094,0,CD8 T cells
2.8411436,9.737416,4,Fibroblasts
-0.0028752934,5.7191944,2,Myeloid
1.9876697,8.685362,4,Fibroblasts
0.3479818,9.558777,3,Vessel
5.822684,8.395811,15,Tumor
1.1751212,7.4871416,6,Vessel
1.6014215,4.3051314,9,Myeloid
3.08271,5.5437083,18,CD8 T cells
-1.697335,7.812049,12,Vessel
-0.24704012,8.870219,3,Fibroblasts
-0.19093679,6.2456264,2,CD4 T cells
4.1416264,7.8506846,16,CD8 T cells
-0.5366576,8.375892,12,Vessel
7.3389406,8.221812,19,Tumor
10.555623,6.115895,10,Tumor
2.8961563,9.527107,6,Fibroblasts
3.853511,8.324479,16,Tumor
8.211861,8.075747,19,Tumor
-0.4049139,9.697479,4,Vessel
0.86204743,4.5823646,0,Vessel
2.820522,9.2248955,6,Fibroblasts
1.9839535,4.402271,9,Myeloid
9.384961,8.509685,11,Tumor
1.4800665,9.829712,3,Fibroblasts
0.6684433,7.3681173,14,Myeloid
2.0193205,10.393286,4,other
2.6642942,2.6679604,17,CD8 T cells
2.2904313,9.154316,3,Vessel
3.3258326,2.8665931,17,CD8 T cells
2.620382,2.6516306,17,CD8 T cells
-0.88590556,3.8541377,5,Myeloid
3.4115412,6.353512,16,other
5.2090592,9.938121,18,Vessel
7.329876,4.6356373,17,CD8 T cells
8.143865,8.934495,11,Tumor
4.1380944,8.02628,6,other
-0.88028413,7.3107777,2,Vessel
2.1741288,9.975128,3,Vessel
1.7655354,1.6513634,17,CD4 T cells
3.7691693,5.1929464,7,other
3.7749817,10.271204,4,Fibroblasts
3.1545594,9.549987,6,Fibroblasts
1.2697527,7.50342,11,Vessel
1.6226156,4.751611,0,CD4 T cells
1.9748287,9.883807,3,Tumor
3.1158283,1.9285343,17,CD8 T cells
10.194807,6.5327306,10,Tumor
10.042133,7.5947604,10,Tumor
6.5241604,6.110502,9,Tumor
3.0811975,8.900617,6,Fibroblasts
1.9369187,9.012256,6,Myeloid
9.110793,7.603944,11,Tumor
2.3125043,4.933797,7,Myeloid
1.2958956,5.6050344,13,Vessel
1.8504462,5.5441613,18,B cells
1.154864,4.262287,0,Vessel
8.239691,8.39332,19,Tumor
1.5753776,2.2965193,0,B cells
2.9119291,9.28405,4,Fibroblasts
-0.5530354,5.6079407,2,Vessel
3.7000928,10.852093,4,other
6.084053,9.713067,15,Tumor
2.9651582,7.140763,13,Tumor
1.6757128,4.779323,13,Myeloid
1.6224394,2.7927978,17,CD8 T cells
4.229089,6.5492034,16,Fibroblasts
1.2871249,6.213045,13,Tumor
2.7359283,8.912511,4,other
5.3571467,10.730814,8,other
-0.59156275,5.2848334,14,CD4 T cells
1.9409674,10.302528,3,Tumor
5.389254,8.668206,15,Tumor
-0.4464412,6.758506,2,Vessel
3.5647442,8.4903145,6,Tumor
7.7780113,8.868437,11,Tumor
8.538316,4.7753477,10,Tumor
0.87933064,4.0521855,0,Vessel
0.12850133,5.7211885,14,CD4 T cells
9.195665,5.722917,1,Tumor
3.811474,5.1695495,7,CD8 T cells
2.8435953,3.1990514,17,CD8 T cells
5.8003783,8.649794,15,Tumor
3.7816565,8.537295,6,Fibroblasts
3.5410013,4.4081364,7,CD4 T cells
-0.47950372,8.268858,12,Vessel
-0.9373412,7.668199,12,Vessel
2.0829792,9.908624,3,Tumor
3.3726165,4.355402,7,CD4 T cells
0.2879667,5.200163,2,Vessel
2.997817,9.792272,6,Myeloid
-1.0495855,5.1255426,5,Myeloid
0.8064868,5.146421,0,Vessel
-2.1148157,7.3397465,2,Vessel
4.7933106,10.061368,8,CD8 T cells
3.3969092,4.4299517,7,CD8 T cells
1.9726357,2.1231074,17,B cells
8.016198,8.293755,19,Tumor
-0.93781936,6.8092775,2,Vessel
7.1612015,4.9726014,11,CD8 T cells
0.003515762,3.647432,7,CD8 T cells
1.2419701,6.148881,14,CD4 T cells
0.090182774,6.5907974,14,Myeloid
-0.7074356,6.1793265,2,Vessel
2.7989404,10.8787365,4,Fibroblasts
2.4925265,8.008806,3,Fibroblasts
1.703584,6.4188304,13,Tumor
2.785886,7.2039695,13,Vessel
2.9837627,9.775416,6,other
8.324735,8.905004,19,Tumor
