marker,n,r_virtues,r_ridge_lopo,r_template_lopo,r_ridge_lowo,r_template_lowo,ridge_lowo_minus_lopo,virtues_minus_ridge_lopo
CD45,72,0.6116698703539328,0.5759470425017379,0.022407459424354084,0.5790573187930318,0.0230263088202149,0.003110276291293901,0.03572282785219494
CD3,72,0.47938137653494006,0.4131578465466354,0.005030227345534757,0.4141581472856052,0.0055389900340009,0.0010003007389697838,0.06622352998830466
Pancytokeratin,72,0.4532898819334177,0.39955846542000617,0.012200471745289024,0.4033176103018664,0.0167297700772049,0.0037591448818602435,0.05373141651341151
CD68,72,0.44793432352119855,0.4283027033925396,0.014862785308705516,0.4306087585093335,0.0143142588052543,0.0023060551167938814,0.019631620128658933
CD14,72,0.4442589449524448,0.40595246927659245,0.006853842862206287,0.4087875527280014,0.0072414618735023,0.0028350834514089263,0.038306475675852325
CD31,72,0.44299491861811624,0.30536299214420315,-0.007145248153463328,0.3084511964651036,-0.0053950673478476,0.003088204320900456,0.1376319264739131
E-Cadherin,72,0.4150739861361022,0.41277461787075526,-0.0030988268771076945,0.4135581875829371,-0.0018092868816525,0.000783569712181853,0.002299368265346935
HistoneH3,72,0.4093362873742048,0.24144481096973935,0.013009558654894485,0.2506414552372472,0.0133057183780094,0.009196644267507825,0.16789147640446545
pS6,72,0.3931005467964218,0.41399628590075543,-0.0041241839140233345,0.419804895757992,-0.0011027674220214,0.00580860985723658,-0.02089573910433362
Vimentin,72,0.39248284321876037,0.38617794451882664,0.006529578089074282,0.3892382927938883,0.0074707482790112,0.0030603482750616307,0.006304898699933725
CD56,72,0.3874737419290866,0.42616831495733254,0.005973529403878008,0.4256664044348767,0.0063583120271661,-0.0005019105224558507,-0.038694573028245915
CD44,72,0.38410741752886757,0.3675798321999658,-0.002332450377906193,0.3759474196897273,-0.0027254193774477,0.008367587489761463,0.01652758532890175
CD8a,72,0.36122411557869755,0.3563566836653156,0.016139536870624444,0.3576825062443233,0.016129576946004,0.0013258225790077072,0.004867431913381959
CD4,72,0.3519235191283591,0.3319144119421773,-0.0031626481368195658,0.3333923841314554,-0.0030402283475644,0.0014779721892780873,0.020009107186181818
CD11c,72,0.3360565389887455,0.312491304153822,0.003451363572050318,0.3148216905257078,0.0027774831095567,0.0023303863718858175,0.02356523483492351
CD206,72,0.33250521675534517,0.3012544643852163,0.009531808022351707,0.3024194541399945,0.010442640425981,0.0011649897547781896,0.031250752370128865
CD163,72,0.33050853292093274,0.2875698411340061,0.002631093365192801,0.2881825491164149,0.0029241055803886,0.0006127079824088111,0.042938691786926664
GranzymeB,72,0.32254779893399466,0.33678835650417227,0.014537786973199863,0.3544132203231598,0.0146365876714811,0.017624863818987535,-0.014240557570177614
CD16,72,0.2995093876256041,0.3200024662196684,-0.0002636547056686277,0.320958954609209,0.0004701310409345,0.0009564883895405996,-0.020493078594064296
aSMA,72,0.2992117938412208,0.2495812400886387,0.012552043949705357,0.2595570781255473,0.0135408090537989,0.009975838036908602,0.04963055375258213
CD209,72,0.29128196998472644,0.33206223299175436,0.00645508756763111,0.333411470396291,0.0057261464612689,0.0013492374045366295,-0.04078026300702792
VEGF,72,0.28250321914978405,0.3292376962515532,-0.002909130907177868,0.329594729817099,-0.0039009318813402,0.00035703356554578347,-0.046734477101769145
CD11b,72,0.2678329274457223,0.2978611001453742,0.009248960081430975,0.2982440373591015,0.0091320544683795,0.00038293721372728573,-0.03002817269965191
pNFkB,72,0.21665301504438375,0.19420585988934064,0.023059516594864597,0.2040094083858884,0.0223552630486031,0.00980354849654777,0.022447155155043114
CD36,72,0.20531782189203268,0.21087441975915994,0.0006398699694871978,0.223758294836644,-0.0004749597982687,0.012883875077484064,-0.005556597867127255
Ki67,72,0.18508600637538455,0.24232870331001002,0.010745609921101086,0.2449314543369057,0.0109134366191976,0.0026027510268956666,-0.05724269693462547
Collagen,72,0.16889821987753142,0.1795857871184979,0.04008155217080271,0.1871728016003096,0.0424249570008565,0.007587014481811705,-0.010687567240966478
CD20,72,0.16621881098934355,0.15740824684203295,-0.002110849889261925,0.158687198491895,-0.001549218700121,0.0012789516498620535,0.008810564147310601
pERK,72,0.13950047368877122,0.11883039552084464,0.0036425560110371247,0.1205991610288892,0.0041567798506282,0.0017687655080445702,0.020670078167926584
Podoplanin,36,0.13104032661855167,0.1313734172605544,-0.0008512998929662073,0.1344763649953032,-0.0002694921990334,0.0031029477347487844,-0.00033309064200273686
CD86,36,0.11520428375875327,0.14538011788572583,-0.0028494076595116744,0.1471410273700459,-0.0038063269604822,0.0017609094843200612,-0.030175834126972556
FoxP3,72,0.10587495058242065,0.10786609190129727,0.0025972055633826565,0.1095353118550852,0.002329078657104,0.0016692199537879232,-0.0019911413188766214
pp38,72,0.1055166305170654,0.1001854448260418,-0.002788013171126641,0.101906903891761,-0.0023157732879197,0.0017214590657192025,0.005331185691023602
pMAPKAPK2,72,0.08544579597213688,0.28758546476589086,0.00927799800117144,0.2889927055515717,0.0104561561676161,0.00140724078568083,-0.202139668793754
pSTAT1,72,0.07511166619871754,0.07311593980555814,0.0032450161137851123,0.0735322433192416,0.0038817914462525,0.00041630351368346363,0.001995726393159397
CD45RA,72,0.07044364200010717,0.14223301768341906,-0.0038360468317005067,0.1444749375200432,-0.0043344600889108,0.00224191983662414,-0.0717893756833119
pSTAT3,72,0.0670121881116186,0.10286758272401704,0.0010211591076269388,0.1045202301241914,0.0003087158386826,0.001652647400174359,-0.035855394612398436
CD15,72,0.06219846413922982,0.07727549023373705,0.007718990955019267,0.0774149569963047,0.0069375401891261,0.00013946676256765267,-0.015077026094507229
pCREB,72,0.052071487034623914,0.32033998994069557,-0.0015499857708661845,0.3281688027418182,-0.0002830108907669,0.007828812801122631,-0.2682685029060716
