cohort,threshold_name,threshold_value,n_patients,median_diff_frac_ki67pos,ci95_lo,ci95_hi,wilcoxon_p
UOP,q75,0.08451950652414104,24,-0.04025537869598437,-0.06744364680232569,0.0014209297717736064,0.04248917102813721
UOP,q80,0.103264649374164,24,-0.03706214544362618,-0.06783354119181755,0.005085198167680043,0.012604832649230957
UOP,q90,0.18410085385086852,24,-0.01801637694997727,-0.02582092413232593,-0.005629367042967973,0.0005675554275512695
UOP,q95,0.31821977728061046,24,-0.006056374010256924,-0.01573291126359981,-0.0014641288433382138,0.0001832608969158505
UOP,2x_median,0.0730501019101665,24,-0.043408967146450234,-0.06834563502389611,0.004082788111965436,0.06464934349060059
STA,q75,0.13541461605331725,24,-0.07449241509786284,-0.12893081761006292,-0.06464867846746208,3.6597251892089844e-05
STA,q80,0.170701760143015,24,-0.06315535066355187,-0.09908883826879271,-0.05382233533067577,1.3113021850585938e-05
STA,q90,0.3388581529714487,24,-0.025484401355048123,-0.03986332574031891,-0.018419489007724298,6.389617919921875e-05
STA,q95,0.5992003962865522,24,-0.010067278913304854,-0.018984094407388404,-0.0056785917092561046,7.62939453125e-05
STA,2x_median,0.1231852565249616,24,-0.08223862950514431,-0.13613974348886615,-0.06487409120902973,5.125999450683594e-06
