UOP_OC01_001_w192_512 done (2 wins, 9s)
UOP_OC02_002_w320_128 done (3 wins, 18s)
UOP_OC02_002_w320_64 done (4 wins, 26s)
UOP_OC04_001_w256_64 done (5 wins, 35s)
UOP_OC04_001_w320_128 done (6 wins, 43s)
UOP_OC05_002_w576_256 done (7 wins, 51s)
UOP_OC05_002_w448_320 done (8 wins, 59s)
UOP_OC06_003_w832_64 done (9 wins, 68s)
UOP_OC06_003_w832_128 done (10 wins, 76s)
UOP_OC08_001_w576_0 done (11 wins, 85s)
UOP_OC08_001_w640_64 done (12 wins, 93s)
UOP_OC09_002_w64_384 done (13 wins, 102s)
UOP_OC09_002_w64_320 done (14 wins, 110s)
UOP_OC10_003_w576_256 done (15 wins, 119s)
UOP_OC10_003_w576_320 done (16 wins, 127s)
UOP_OC12_001_w320_64 done (17 wins, 136s)
UOP_OC12_001_w320_128 done (18 wins, 144s)
UOP_OC13_002_w128_128 done (19 wins, 152s)
UOP_OC13_002_w256_256 done (20 wins, 160s)
UOP_OC17_003_w704_320 done (21 wins, 169s)
UOP_OC17_003_w768_320 done (22 wins, 177s)
UOP_OC19_001_w768_192 done (23 wins, 185s)
UOP_OC19_001_w832_256 done (24 wins, 194s)
UOP_OC20_002_w0_192 done (25 wins, 202s)
UOP_OC20_002_w128_320 done (26 wins, 211s)
UOP_OC21_003_w192_384 done (27 wins, 219s)
UOP_OC21_003_w320_64 done (28 wins, 227s)
UOP_OC24_001_w64_0 done (29 wins, 236s)
UOP_OC24_001_w64_384 done (30 wins, 244s)
UOP_OC25_002_w256_320 done (31 wins, 252s)
UOP_OC25_002_w256_256 done (32 wins, 260s)
UOP_OC26_003_w576_320 done (33 wins, 268s)
UOP_OC26_003_w704_320 done (34 wins, 276s)
UOP_OC28_001_w320_64 done (35 wins, 285s)
UOP_OC28_001_w256_64 done (36 wins, 293s)
STA_S01_1_w320_128 done (37 wins, 300s)
STA_S01_1_w384_192 done (38 wins, 307s)
STA_S02_2_w320_320 done (39 wins, 315s)
STA_S02_2_w320_384 done (40 wins, 323s)
STA_S03_3_w192_128 done (41 wins, 330s)
STA_S03_3_w64_768 done (42 wins, 338s)
STA_S05_1_w64_640 done (43 wins, 345s)
STA_S05_1_w64_704 done (44 wins, 353s)
STA_S06_2_w192_0 done (45 wins, 360s)
STA_S06_2_w192_64 done (46 wins, 368s)
STA_S07_3_w640_64 done (47 wins, 375s)
STA_S07_3_w704_64 done (48 wins, 383s)
STA_S09_1_w256_256 done (49 wins, 390s)
STA_S09_1_w64_640 done (50 wins, 397s)
STA_S10_2_w192_832 done (51 wins, 405s)
STA_S10_2_w128_832 done (52 wins, 412s)
STA_S11_3_w0_384 done (53 wins, 420s)
STA_S11_3_w0_704 done (54 wins, 427s)
STA_S13_1_w0_768 done (55 wins, 435s)
STA_S13_1_w0_832 done (56 wins, 442s)
STA_S14_2_w192_192 done (57 wins, 450s)
STA_S14_2_w256_192 done (58 wins, 457s)
STA_S15_3_w768_128 done (59 wins, 465s)
STA_S15_3_w256_64 done (60 wins, 472s)
STA_S17_1_w64_64 done (61 wins, 480s)
STA_S17_1_w0_384 done (62 wins, 487s)
STA_S18_2_w832_0 done (63 wins, 495s)
STA_S18_2_w0_192 done (64 wins, 502s)
STA_S19_3_w192_0 done (65 wins, 510s)
STA_S19_3_w256_0 done (66 wins, 517s)
STA_S21_2_w320_256 done (67 wins, 525s)
STA_S21_2_w320_192 done (68 wins, 532s)
STA_S22_3_w320_256 done (69 wins, 540s)
STA_S22_3_w192_256 done (70 wins, 547s)
STA_S24_1_w64_448 done (71 wins, 555s)
STA_S24_1_w128_448 done (72 wins, 562s)
CACHE_DONE n_windows=72 elapsed=562s
