marker,n_windows,T_obs_mean_r,null_mean,null_sd,p_one_sided_addone,p_two_sided_addone,perm_B,exchange_unit,q_BH_one_sided,significant_FDR05
CD45,72,0.6116698703539328,-0.011402802370898224,0.007916496817977911,0.0001,0.0001,9999,window,0.0001,True
CD3,72,0.4793813765349402,-0.006180692144509279,0.005517044498536945,0.0001,0.0001,9999,window,0.0001,True
Pancytokeratin,72,0.4532898819334177,-0.014791952783755696,0.01116949643182597,0.0001,0.0001,9999,window,0.0001,True
CD68,72,0.44793432352119844,-0.011109117093120386,0.007173896206021296,0.0001,0.0001,9999,window,0.0001,True
CD14,72,0.44425894495244483,-0.004918625808178964,0.0048829033377383955,0.0001,0.0001,9999,window,0.0001,True
CD31,72,0.4429949186181162,-0.00624174226865454,0.005559541019521115,0.0001,0.0001,9999,window,0.0001,True
E-Cadherin,72,0.41507398613610214,-0.011781918159507732,0.008282508019477929,0.0001,0.0001,9999,window,0.0001,True
HistoneH3,72,0.4093362873742048,-0.002402974398603651,0.007318758671564835,0.0001,0.0001,9999,window,0.0001,True
pS6,72,0.3931005467964218,-0.012831702279380743,0.010042446817118468,0.0001,0.0001,9999,window,0.0001,True
Vimentin,72,0.3924828432187603,-0.007897593449261437,0.007788445003134333,0.0001,0.0001,9999,window,0.0001,True
CD56,72,0.3874737419290866,-0.006320486336090211,0.00560408474828536,0.0001,0.0001,9999,window,0.0001,True
CD44,72,0.38410741752886757,-0.001224249881365194,0.005768761109756137,0.0001,0.0001,9999,window,0.0001,True
CD8a,72,0.36122411557869755,-0.0035352388735727363,0.00548977244332798,0.0001,0.0001,9999,window,0.0001,True
CD4,72,0.3519235191283591,-0.0066300644511724585,0.005058694133412737,0.0001,0.0001,9999,window,0.0001,True
CD11c,72,0.33605653898874555,-0.006377169124459351,0.00490958653534661,0.0001,0.0001,9999,window,0.0001,True
CD206,72,0.3325052167553451,-0.002247550137077815,0.004431318913662256,0.0001,0.0001,9999,window,0.0001,True
CD163,72,0.3305085329209328,-0.0037290528380648385,0.004111758182975592,0.0001,0.0001,9999,window,0.0001,True
GranzymeB,72,0.32254779893399466,-0.0038518970405914746,0.006773870212919629,0.0001,0.0001,9999,window,0.0001,True
CD16,72,0.2995093876256041,-0.003367821284318954,0.004334439509601599,0.0001,0.0001,9999,window,0.0001,True
aSMA,72,0.2992117938412209,-0.004211819736627932,0.006957048827346184,0.0001,0.0001,9999,window,0.0001,True
CD209,72,0.2912819699847265,-0.0031716868230893275,0.003908744859461684,0.0001,0.0001,9999,window,0.0001,True
VEGF,72,0.2825032191497841,-0.006002765014808905,0.005635184847684386,0.0001,0.0001,9999,window,0.0001,True
CD11b,72,0.2678329274457223,-0.006094103259228285,0.0052241389652061335,0.0001,0.0001,9999,window,0.0001,True
pNFkB,72,0.21665301504438375,-0.007644353338603449,0.006406183088811359,0.0001,0.0001,9999,window,0.0001,True
CD36,72,0.20531782189203268,-0.0014516800392927198,0.0051330711639717775,0.0001,0.0001,9999,window,0.0001,True
Ki67,72,0.18508600637538455,-0.003616509824537793,0.005438488773314268,0.0001,0.0001,9999,window,0.0001,True
Collagen,72,0.16889821987753142,-0.00393070816613197,0.006848500304697944,0.0001,0.0001,9999,window,0.0001,True
CD20,72,0.16621881098934355,-0.00338386253421838,0.005475339433712708,0.0001,0.0001,9999,window,0.0001,True
pERK,72,0.13950047368877122,-0.0011964007671390522,0.00402497148431396,0.0001,0.0001,9999,window,0.0001,True
Podoplanin,36,0.1310403266185517,-0.0011792934745314084,0.006550335112062214,0.0001,0.0001,9999,window,0.0001,True
CD86,36,0.11520428375875327,-0.002777518435332142,0.0046463865402117735,0.0001,0.0001,9999,window,0.0001,True
FoxP3,72,0.10587495058242065,-0.002042449065328036,0.003280778396586149,0.0001,0.0001,9999,window,0.0001,True
pp38,72,0.10551663051706539,-0.0009179416032115466,0.0031239126460542964,0.0001,0.0001,9999,window,0.0001,True
pMAPKAPK2,72,0.08544579597213688,-0.004474731193607546,0.005387130614408836,0.0001,0.0001,9999,window,0.0001,True
pSTAT1,72,0.07511166619871755,-5.338180852670625e-05,0.003321780261383613,0.0001,0.0001,9999,window,0.0001,True
CD45RA,72,0.07044364200010717,-0.00099642062526873,0.004889482693127096,0.0001,0.0001,9999,window,0.0001,True
pSTAT3,72,0.0670121881116186,-0.0018073694347700735,0.003253109744332123,0.0001,0.0001,9999,window,0.0001,True
CD15,72,0.06219846413922982,-0.000879375111866645,0.0034706089417649746,0.0001,0.0001,9999,window,0.0001,True
pCREB,72,0.052071487034623914,-0.0017658343083759235,0.006773230702855949,0.0001,0.0001,9999,window,0.0001,True
