key,cohort,tissue,r0,c0,density,n_markers,patient
UOP_OC01_001_w320_640,UOP,OC01_001,320,640,0.6585,39,OC01
UOP_OC01_001_w192_512,UOP,OC01_001,192,512,0.6558,39,OC01
UOP_OC02_002_w320_128,UOP,OC02_002,320,128,0.8507,39,OC02
UOP_OC02_002_w320_64,UOP,OC02_002,320,64,0.8155,39,OC02
UOP_OC04_001_w256_64,UOP,OC04_001,256,64,0.7234,39,OC04
UOP_OC04_001_w320_128,UOP,OC04_001,320,128,0.659,39,OC04
UOP_OC05_002_w576_256,UOP,OC05_002,576,256,0.8492,39,OC05
UOP_OC05_002_w448_320,UOP,OC05_002,448,320,0.8364,39,OC05
UOP_OC06_003_w832_64,UOP,OC06_003,832,64,0.4553,39,OC06
UOP_OC06_003_w832_128,UOP,OC06_003,832,128,0.4298,39,OC06
UOP_OC08_001_w576_0,UOP,OC08_001,576,0,0.712,39,OC08
UOP_OC08_001_w640_64,UOP,OC08_001,640,64,0.7046,39,OC08
UOP_OC09_002_w64_384,UOP,OC09_002,64,384,0.8265,39,OC09
UOP_OC09_002_w64_320,UOP,OC09_002,64,320,0.8052,39,OC09
UOP_OC10_003_w576_256,UOP,OC10_003,576,256,0.7319,39,OC10
UOP_OC10_003_w576_320,UOP,OC10_003,576,320,0.7104,39,OC10
UOP_OC12_001_w320_64,UOP,OC12_001,320,64,0.8445,39,OC12
UOP_OC12_001_w320_128,UOP,OC12_001,320,128,0.8436,39,OC12
UOP_OC13_002_w128_128,UOP,OC13_002,128,128,0.5632,39,OC13
UOP_OC13_002_w256_256,UOP,OC13_002,256,256,0.5616,39,OC13
UOP_OC17_003_w704_320,UOP,OC17_003,704,320,0.7245,39,OC17
UOP_OC17_003_w768_320,UOP,OC17_003,768,320,0.7095,39,OC17
UOP_OC19_001_w768_192,UOP,OC19_001,768,192,0.7965,39,OC19
UOP_OC19_001_w832_256,UOP,OC19_001,832,256,0.7921,39,OC19
UOP_OC20_002_w0_192,UOP,OC20_002,0,192,0.7857,39,OC20
UOP_OC20_002_w128_320,UOP,OC20_002,128,320,0.7838,39,OC20
UOP_OC21_003_w192_384,UOP,OC21_003,192,384,0.8137,39,OC21
UOP_OC21_003_w320_64,UOP,OC21_003,320,64,0.798,39,OC21
UOP_OC24_001_w64_0,UOP,OC24_001,64,0,0.8903,39,OC24
UOP_OC24_001_w64_384,UOP,OC24_001,64,384,0.8804,39,OC24
UOP_OC25_002_w256_320,UOP,OC25_002,256,320,0.7346,39,OC25
UOP_OC25_002_w256_256,UOP,OC25_002,256,256,0.7021,39,OC25
UOP_OC26_003_w576_320,UOP,OC26_003,576,320,0.8837,39,OC26
UOP_OC26_003_w704_320,UOP,OC26_003,704,320,0.8824,39,OC26
UOP_OC28_001_w320_64,UOP,OC28_001,320,64,0.8514,39,OC28
UOP_OC28_001_w256_64,UOP,OC28_001,256,64,0.8136,39,OC28
STA_S01_1_w320_128,STA,S01_1,320,128,0.7137,37,S01
STA_S01_1_w384_192,STA,S01_1,384,192,0.7025,37,S01
STA_S02_2_w320_320,STA,S02_2,320,320,0.5601,37,S02
STA_S02_2_w320_384,STA,S02_2,320,384,0.558,37,S02
STA_S03_3_w192_128,STA,S03_3,192,128,0.7375,37,S03
STA_S03_3_w64_768,STA,S03_3,64,768,0.7286,37,S03
STA_S05_1_w64_640,STA,S05_1,64,640,0.6012,37,S05
STA_S05_1_w64_704,STA,S05_1,64,704,0.5814,37,S05
STA_S06_2_w192_0,STA,S06_2,192,0,0.7669,37,S06
STA_S06_2_w192_64,STA,S06_2,192,64,0.7149,37,S06
STA_S07_3_w640_64,STA,S07_3,640,64,0.6534,37,S07
STA_S07_3_w704_64,STA,S07_3,704,64,0.6225,37,S07
STA_S09_1_w256_256,STA,S09_1,256,256,0.6175,37,S09
STA_S09_1_w64_640,STA,S09_1,64,640,0.6171,37,S09
STA_S10_2_w192_832,STA,S10_2,192,832,0.6617,37,S10
STA_S10_2_w128_832,STA,S10_2,128,832,0.6516,37,S10
STA_S11_3_w0_384,STA,S11_3,0,384,0.9032,37,S11
STA_S11_3_w0_704,STA,S11_3,0,704,0.8778,37,S11
STA_S13_1_w0_768,STA,S13_1,0,768,0.8705,37,S13
STA_S13_1_w0_832,STA,S13_1,0,832,0.8033,37,S13
STA_S14_2_w192_192,STA,S14_2,192,192,0.7875,37,S14
STA_S14_2_w256_192,STA,S14_2,256,192,0.7727,37,S14
STA_S15_3_w768_128,STA,S15_3,768,128,0.6619,37,S15
STA_S15_3_w256_64,STA,S15_3,256,64,0.645,37,S15
STA_S17_1_w64_64,STA,S17_1,64,64,0.7017,37,S17
STA_S17_1_w0_384,STA,S17_1,0,384,0.6821,37,S17
STA_S18_2_w832_0,STA,S18_2,832,0,0.7428,37,S18
STA_S18_2_w0_192,STA,S18_2,0,192,0.641,37,S18
STA_S19_3_w192_0,STA,S19_3,192,0,0.9155,37,S19
STA_S19_3_w256_0,STA,S19_3,256,0,0.9022,37,S19
STA_S21_2_w320_256,STA,S21_2,320,256,0.7321,37,S21
STA_S21_2_w320_192,STA,S21_2,320,192,0.6918,37,S21
STA_S22_3_w320_256,STA,S22_3,320,256,0.7667,37,S22
STA_S22_3_w192_256,STA,S22_3,192,256,0.763,37,S22
STA_S24_1_w64_448,STA,S24_1,64,448,0.7965,37,S24
STA_S24_1_w128_448,STA,S24_1,128,448,0.7834,37,S24
