,mean,std
CD15,0.01177651483849641,0.0439769359306706
Podoplanin,0.07845402468835211,0.1319972054223876
Vimentin,0.43643775289890524,0.42690193892962514
aSMA,0.4359575268127327,0.4596241809744454
CD206,0.20390797933592505,0.22364452297577878
CD45RA,0.2171031531743235,0.2508435669579716
CD14,0.2995103776439488,0.275943445177772
CD209,0.2451380033966726,0.21322826178603352
CD16,0.13228817784885344,0.17617908549749564
CD163,0.11328156207836648,0.17517657185201543
Pancytokeratin,0.7676524699320308,0.904153310401537
CD11b,0.17068735213565647,0.20421274411400173
CD86,0.04470063460688442,0.08093010058204114
pp38,0.11154206549742543,0.13557401855508175
CD45,0.5341613653161051,0.519907017835035
pSTAT1,0.08540984257635231,0.12018194231584256
pSTAT3,0.09588887658570437,0.12991012200684926
FoxP3,0.1051301561809087,0.13847918443410742
CD4,0.14781060938847984,0.1803638129646552
CD36,0.16843369292941143,0.2125490425305298
E-Cadherin,0.2548995092675092,0.29720386254441766
CD68,0.3111164243422169,0.3250664760448775
CD31,0.2777443299132454,0.34998453171093064
CD20,0.05802038803045569,0.14680955507703322
CD8a,0.13449273239047693,0.27131814541352395
VEGF,0.20806037603231392,0.21621896235556448
CD3,0.18219598708038032,0.2507662807483104
pCREB,0.6461231039041272,0.5012388356299239
pNFkB,0.33262115335179954,0.36317736270492385
GranzymeB,0.3110143876102604,0.38019855903071187
Ki67,0.100889778339969,0.2101022946503453
Collagen,0.34827268517574067,0.4357771867061867
CD44,0.3655031898783343,0.408287943832499
pERK,0.10208268852253308,0.15501221669991475
CD11c,0.11084058353307426,0.1656941662805658
CD56,0.348953485664715,0.28098787504354433
pMAPKAPK2,0.2932832298761093,0.2833595737705258
pS6,1.002919027858305,0.7922947261780677
HistoneH3,2.190907707476828,0.9478546242268238
