scenario,marker,mean_shift_in_SD,std_ratio_dev
ALL_142ROI,CD11b,0.0,0.0
ALL_142ROI,CD11c,0.0,0.0
ALL_142ROI,CD14,0.0,0.0
ALL_142ROI,CD15,0.0,0.0
ALL_142ROI,CD16,0.0,0.0
ALL_142ROI,CD163,0.0,0.0
ALL_142ROI,CD20,0.0,0.0
ALL_142ROI,CD206,0.0,0.0
ALL_142ROI,CD209,0.0,0.0
ALL_142ROI,CD3,0.0,0.0
ALL_142ROI,CD31,0.0,0.0
ALL_142ROI,CD36,0.0,0.0
ALL_142ROI,CD4,0.0,0.0
ALL_142ROI,CD44,0.0,0.0
ALL_142ROI,CD45,0.0,0.0
ALL_142ROI,CD45RA,0.0,0.0
ALL_142ROI,CD56,0.0,0.0
ALL_142ROI,CD68,0.0,0.0
ALL_142ROI,CD86,0.0,0.0
ALL_142ROI,CD8a,0.0,0.0
ALL_142ROI,Collagen,0.0,0.0
ALL_142ROI,E-Cadherin,0.0,0.0
ALL_142ROI,FoxP3,0.0,0.0
ALL_142ROI,GranzymeB,0.0,0.0
ALL_142ROI,HistoneH3,0.0,0.0
ALL_142ROI,Ki67,0.0,0.0
ALL_142ROI,Pancytokeratin,0.0,0.0
ALL_142ROI,Podoplanin,0.0,0.0
ALL_142ROI,VEGF,0.0,0.0
ALL_142ROI,Vimentin,0.0,0.0
ALL_142ROI,aSMA,0.0,0.0
ALL_142ROI,pCREB,0.0,0.0
ALL_142ROI,pERK,0.0,0.0
ALL_142ROI,pMAPKAPK2,0.0,0.0
ALL_142ROI,pNFkB,0.0,0.0
ALL_142ROI,pS6,0.0,0.0
ALL_142ROI,pSTAT1,0.0,0.0
ALL_142ROI,pSTAT3,0.0,0.0
ALL_142ROI,pp38,0.0,0.0
only_UOP,CD11b,-0.16807895265039227,-0.08564008410655655
only_UOP,CD11c,-0.09056314281242794,-0.08463477479716153
only_UOP,CD14,-0.015488652198181097,0.1080309102685455
only_UOP,CD15,-0.1311698596579636,-0.4025305421966019
only_UOP,CD16,-0.31037120590930456,-0.22281308931016197
only_UOP,CD163,-0.28391235957585914,-0.24880509388470695
only_UOP,CD20,-0.07902448318425516,-0.049857990420066334
only_UOP,CD206,-0.36366060587064963,-0.207190631076694
only_UOP,CD209,-0.1581160577236607,-0.00598988896228092
only_UOP,CD3,0.054902568282617754,0.02181846320317149
only_UOP,CD31,-0.06819741422298874,-0.07120296056176623
only_UOP,CD36,-0.09786889048361723,-0.07549110100687195
only_UOP,CD4,-0.19245078399898885,-0.10698914608724297
only_UOP,CD44,-0.15255836270300102,-0.10425324504324662
only_UOP,CD45,-0.31321059968628967,-0.171222709277416
only_UOP,CD45RA,-0.02228911032112875,0.07600208299678801
only_UOP,CD56,-0.2089647607050812,-0.0800602812573672
only_UOP,CD68,-0.2333674671655347,-0.14010007739621444
only_UOP,CD86,0.0,0.0
only_UOP,CD8a,-0.02504156270381879,-0.01608877945404108
only_UOP,Collagen,-0.0223057030975072,0.042910511825965614
only_UOP,E-Cadherin,-0.13520783863797206,-0.030023255244405744
only_UOP,FoxP3,-0.38472992101199216,-0.32268908206017954
only_UOP,GranzymeB,0.04499317780369115,0.031070961607675196
only_UOP,HistoneH3,-0.532652963015331,-0.2069077349397772
only_UOP,Ki67,-0.1058413414385996,-0.15504159537242557
only_UOP,Pancytokeratin,-0.165993807220358,-0.09426703369199618
only_UOP,Podoplanin,0.0,0.0
only_UOP,VEGF,-0.28673685642376584,-0.1830606002031504
only_UOP,Vimentin,-0.28842364949717186,-0.10049429193331338
only_UOP,aSMA,-0.26552648466308804,-0.15667588544286926
only_UOP,pCREB,0.040944263651550926,-0.022454563791554638
only_UOP,pERK,0.1692188911851737,0.14061024876874173
only_UOP,pMAPKAPK2,-0.1733870000910612,-0.16291913403524683
only_UOP,pNFkB,-0.3125649948164328,-0.18074319116756032
only_UOP,pS6,0.006569333109126691,0.028759204848831876
only_UOP,pSTAT1,-0.3191620368702516,-0.26941093513683956
only_UOP,pSTAT3,-0.3512878415564275,-0.3088753659960326
only_UOP,pp38,-0.2598565920428703,-0.1616642849166271
only_STA,CD11b,0.19249864924464719,0.05752279731940635
only_STA,CD11c,0.10372079542287517,0.07958658617441916
only_STA,CD14,0.01773895291322823,-0.1405865405783443
only_STA,CD15,0.15022714270649043,0.301606988437757
only_STA,CD16,0.35546412539972433,0.10310052805328684
only_STA,CD163,0.3251611511162397,0.14059705556037905
only_STA,CD20,0.09050571788049476,0.046906391824963256
only_STA,CD206,0.41649578552051175,0.04904185493383495
only_STA,CD209,0.1810882746217679,-0.024165349129752656
only_STA,CD3,-0.06287920092201532,-0.029396084477019246
only_STA,CD31,0.07810561591973585,0.0704494959312858
only_STA,CD36,0.1120879736819601,0.0690451060964381
only_STA,CD4,0.22041139227548753,0.06815603271782456
only_STA,CD44,0.17472311844057736,0.08128086889695374
only_STA,CD45,0.3587160463459489,0.05716167537474548
only_STA,CD45RA,0.02552742959201313,-0.0955247809624038
only_STA,CD56,0.23932463607819374,0.033806763203089174
only_STA,CD68,0.26727273997506773,0.07917672345417293
only_STA,CD8a,0.02867977768452039,0.017357051126889456
only_STA,Collagen,0.025546433084060727,-0.052171423698895825
only_STA,E-Cadherin,0.15485178777401815,0.011346569006300156
only_STA,FoxP3,0.44062619947932813,0.12080908213715547
only_STA,GranzymeB,-0.051530104250769,-0.03940115588323434
only_STA,HistoneH3,0.6100405451114692,-0.1468778141154118
only_STA,Ki67,0.12121871858370596,0.140210526308838
only_STA,Pancytokeratin,0.19011055916893632,0.06679383810123674
only_STA,VEGF,0.328396010802382,0.08578394180969462
only_STA,Vimentin,0.33032787307939904,0.007091047481468715
only_STA,aSMA,0.30410404652295214,0.07588895126088913
only_STA,pCREB,-0.04689293527211814,0.02310186994609187
only_STA,pERK,-0.19380420609580037,-0.23519763806625293
only_STA,pMAPKAPK2,0.1985778872833361,0.1264614521186207
only_STA,pNFkB,0.3579766434437208,0.06609243361878114
only_STA,pS6,-0.00752377219160425,-0.034043676537264034
only_STA,pSTAT1,0.36553215033108033,0.13300505839373944
only_STA,pSTAT3,0.40232541867592425,0.1379978871429346
only_STA,pp38,0.2976103918830143,0.08372671427424128
fold0_train(38pat),CD11b,-0.012256829778536737,-0.006875068798787076
fold0_train(38pat),CD11c,0.001757493920872482,0.0038081162514487232
fold0_train(38pat),CD14,-0.03481653537684864,-0.03528120110585553
fold0_train(38pat),CD15,-0.004480770287205543,-0.014645593500174692
fold0_train(38pat),CD16,-0.009635394946398273,0.011498218854915754
fold0_train(38pat),CD163,-0.013754666951830847,0.006619714416190359
fold0_train(38pat),CD20,-0.01604571138953353,-0.04906988528978806
fold0_train(38pat),CD206,-0.015838787092281165,0.00878387153881266
fold0_train(38pat),CD209,-0.007206647313631101,0.014163195350169966
fold0_train(38pat),CD3,-0.015537944340979541,-0.010267939419658312
fold0_train(38pat),CD31,0.019730163459294858,0.020145548233901023
fold0_train(38pat),CD36,0.003652609456834901,0.027069076035716177
fold0_train(38pat),CD4,-0.01822916282387986,-0.00816946349968839
fold0_train(38pat),CD44,-0.013369576173172875,0.01449238632928207
fold0_train(38pat),CD45,-0.03125846448869296,-0.023732039090492263
fold0_train(38pat),CD45RA,0.018879932485487246,0.021983213072304553
fold0_train(38pat),CD56,-0.01282280511004117,0.006840502927114356
fold0_train(38pat),CD68,-0.004153064444136765,0.00185046794758148
fold0_train(38pat),CD86,-0.02950535766524968,-0.03511566488670703
fold0_train(38pat),CD8a,-0.01498823504923964,-0.021767048007281353
fold0_train(38pat),Collagen,0.02878544504082274,0.023994627590204542
fold0_train(38pat),E-Cadherin,-0.025316557723231582,-0.017367737508491743
fold0_train(38pat),FoxP3,-0.014958116297583044,0.0021581754849067103
fold0_train(38pat),GranzymeB,0.018722292355562227,0.01587069189664647
fold0_train(38pat),HistoneH3,-0.021101432176568048,0.014869445108725898
fold0_train(38pat),Ki67,0.021245098735643807,0.042335964592972175
fold0_train(38pat),Pancytokeratin,-0.014501769805842573,-0.0006316233573285812
fold0_train(38pat),Podoplanin,-0.01918205675743376,-0.021070098289532324
fold0_train(38pat),VEGF,-0.004271645636527334,0.015627703065520304
fold0_train(38pat),Vimentin,0.004270196915630207,0.016558224272428035
fold0_train(38pat),aSMA,-0.01238983478968672,0.016797806632303347
fold0_train(38pat),pCREB,-0.013020765450573006,0.011672709013213378
fold0_train(38pat),pERK,-0.0015692375633437339,-0.0031276013963191795
fold0_train(38pat),pMAPKAPK2,-0.0056726552371572396,0.022581641860552448
fold0_train(38pat),pNFkB,-0.00010171848767864583,0.032232004792649205
fold0_train(38pat),pS6,-0.01891206890991013,-0.0068644601333582855
fold0_train(38pat),pSTAT1,-0.026580133192355714,-0.014130581162818845
fold0_train(38pat),pSTAT3,-0.026121789736283346,-0.009692865727623734
fold0_train(38pat),pp38,-0.016273868546021107,0.004885857520501524
fold1_train(38pat),CD11b,0.0021783839415538144,0.02320962448415642
